case_id,weight,language,ident1,sc1,cp_intro1,s0a,int1,int3,q1a,q1b,q1c,q1d,q1e,q1f,q1g,halfsamp,q2a,q2b,q2c,q2d,q3a,q3b,q3c,q3d,q4,q5,q6a,q6b,q6c,q6d,q6e,q7a,q7b,q7c,q7d,q7e,q8a,q8b,q8c,q9,q10,q11a,q11b,q11c,q11d,q11e,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q22a,q23,q23a,q24,q24a,q25,q26a,q26b,q26c,q27,q28,q29,q30,q31,q32a,q32b,q32c,q33,q34a,q34b,d7,d7a,recage,recage2,state,region,coverage,agecov,covtype,covtypeot,agecovtype,covselfother,covself,covselfot,covmkt,health,rechealth,rechealth2,care,prexa,everppfa,preg1,abort1,abort2,sti1,sti2,party,partyot,partylean,party3,party5,ideology,rvote,trumpapprove,trumpapprove2,religion,religionot,christian,bornagain,religrecode,racerelig,q35,q36,marital,d2,d3,employ,recemploy,d4,d8,receduc,receduc2,receduc3,d9,income,recincome,d10,d11,d11ot,racethn,nativity,racethn2,d16,gendervar,l1,c1,intv_start_date,intv_end_date
00000009,1.2056,English,LL,Already on phone, , ,No,No,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,A,Not applicable (Vol. for phone),Somewhat comfortable,Somewhat comfortable,Not very comfortable, , , , ,Don't know enough to say,About 1 out of every 10,Not sure,Not sure,Not sure,Not sure,"Yes, curable",True,True,True,True,True,About right,Too difficult,Too difficult,Harder,Legal in all cases, , , , , ,"No, do not overturn",There are still some cases in which abortion is illegal,To protect women's access to abortions,Would continue to be legal,OPTION B: Decisions about abortions should be made by women in consultation with their doctors,Make it more difficult for women to access abortion,Oppose,Oppose,Oppose,Oppose,Support,Still support,Support,Still support,Oppose, ,"Yes, have heard of it",False,False,True,Between 14 and 20 weeks,10,10,"Yes, have heard of it",Very safe,Abortion is about as safe,Abortion is about as safe,Abortion is less safe,Very confident,False,False,88, ,65+,65+,MINNESOTA,North Central,Covered by health insurance, ,Medicare, , , , , , ,Very good,Excellent/Very good,Excellent/Very good/Good,A private doctor's office,"No, no one in household has pre-existing condition",No,No,Pro-choice,Yes,No,Not at all worried,A Democrat, , ,Democrat/Independent lean Democrat,Democrat,Somewhat conservative,Yes,Strongly disapprove,Strongly disapprove/Somewhat disapprove,"Protestant (includes Baptist, Christian, Episcopalian, Jehovah's Witness, Lutheran, Methodist, Presbyterian, etc.)", , ,"No, not born-again or Evangelical",Mainline Protestant,White Mainline Protestant,A few times a month,No,Widowed,Not employed,Retired,Retired,Retired,2,"High school graduate (Grade 12 with diploma or GED certificate or vocational, business technical or other training that",High school graduate,High school or less,Less than college,Refused/Web blank,Don't know/Refused,Don't know/Refused/Web Blank,No,White, ,"White, non-Hispanic", ,"White, non-Hispanic",Female,Female,Yes respondent or someone else has cell phone in household, ,20191223,20191223
00000014,.5729,English,LL,Already on phone, , ,No,No,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,A,Not applicable (Vol. for phone),Very comfortable,Somewhat comfortable,Somewhat comfortable, , , , ,Stayed about the same,About 1 out of every 100 people,Not sure,Not sure,Not sure,Not sure,Not sure,Don't know,True,Don't know,Don't know,False,Too difficult,Don't know,Too difficult,Harder,Illegal in all cases, , , , , ,"Yes, overturn",There are still some cases in which abortion is illegal,To make it more difficult for women to get an abortion,Don't know,Don't know,Make it more difficult for women to access abortion,Support,Support,Don't know,Support,Support,Now oppose,Oppose, ,Support,Don't know,"No, have not heard of it", , , ,Don't know,Don't know,Don't know,"No, have not heard of it",Somewhat safe,Abortion is less safe,Abortion is less safe,Abortion is less safe,I would not help them (Vol. for phone),False,True,91, ,65+,65+,COLORADO,West,Covered by health insurance, ,Medicare, , , , , , ,Good,Good,Excellent/Very good/Good,A private doctor's office,"No, no one in household has pre-existing condition",No,No,Pro-life,No,Refused/Web blank,Not at all worried,A Republican, , ,Republican/Independent lean Republican,Republican,Don't know,Yes,Strongly approve,Strongly approve/Somewhat approve,Roman Catholic/Catholic, , , ,Catholic,Catholic,Less than once a month,Yes,Separated,Not employed,Retired,Retired,Retired,2,Refused/Web blank,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,Refused/Web blank,Don't know/Refused,Don't know/Refused/Web Blank,No,White, ,"White, non-Hispanic", ,"White, non-Hispanic",Male,Male,No, ,20191223,20191223
00000025,.4624,English,LL,Already on phone, , ,No,No,Somewhat important,Very important,Not important,Somewhat important,Somewhat important,Somewhat important,Not important,A,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable, , , , ,Don't know enough to say,About 1 out of every 10,Not sure,Not sure,Not sure,Not sure,Not sure,False,False,True,False,True,About right,About right,About right,Stayed about the same,Legal in all cases, , , , , ,"No, do not overturn",Abortion is legal in all cases,To protect women's access to abortions,Don't know,OPTION B: Decisions about abortions should be made by women in consultation with their doctors,Protect the health and safety of women,Support,Oppose,Oppose,Support,Oppose, ,Support,Still support,Oppose, ,"Yes, have heard of it",True,True,True,Between 14 and 20 weeks,40,30,"No, have not heard of it",Somewhat safe,Abortion is safer,Abortion is less safe,Abortion is less safe,Somewhat confident,False,True,60, ,18-64,50-64,MISSOURI,North Central,Covered by health insurance,Insured Less than 65,Plan you purchased yourself, ,Self-purchased plan, ,Through an insurance agent or broker, ,Not sure,Good,Good,Excellent/Very good/Good,A private doctor's office,"Yes, someone in household has pre-existing condition",No,No,Pro-choice,No,No,Not at all worried,A Democrat, , ,Democrat/Independent lean Democrat,Democrat,Somewhat liberal,Yes,Strongly approve,Strongly approve/Somewhat approve,Jewish, , , ,Other,Other,A few times a month,No,Single that is never married,Not employed,Temporarily unemployed,Temporarily unemployed,Unemployed,1,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",College+,College+,College+,"$20,000 to under $30,000","$20,000 to less than $30,000",Less than $30K,No,White, ,"White, non-Hispanic", ,"White, non-Hispanic",Male,Male,No, ,20191223,20191223
00000031,.7142,English,LL,Already on phone, , ,No,No,Somewhat important,Very important,Very important,Not important,Not important,Very important,Very important,B, , , , ,Very comfortable,Not very comfortable,Not at all comfortable,Somewhat comfortable,More common,About 1 out of every 4,Not sure,"No, not curable","Yes, curable",Not sure,Not sure,True,True,True,True,True,About right,Too easy,About right,Harder,Illegal in most cases,Legal,Legal,Illegal,Illegal,Illegal,"Yes, overturn",Abortion is legal in all cases,To make it more difficult for women to get an abortion,Would continue to be legal,OPTION B: Decisions about abortions should be made by women in consultation with their doctors,Make it more difficult for women to access abortion,Support,Support,Oppose,Support,Support,Refused/Web blank,Oppose, ,Support,Support,"Yes, have heard of it",True,True,True,Between 14 and 20 weeks,10,15,"No, have not heard of it",Somewhat unsafe,Abortion is less safe,Abortion is about as safe,Abortion is less safe,Not at all confident,False,True,87, ,65+,65+,OHIO,North Central,Covered by health insurance, ,Medicare, , , , , , ,Very good,Excellent/Very good,Excellent/Very good/Good,A private doctor's office,"Yes, someone in household has pre-existing condition",No,No,Pro-life,No,No,Not at all worried,A Republican, , ,Republican/Independent lean Republican,Republican,Very conservative,Yes,Strongly approve,Strongly approve/Somewhat approve,"Protestant (includes Baptist, Christian, Episcopalian, Jehovah's Witness, Lutheran, Methodist, Presbyterian, etc.)", , ,"Yes, born-again or Evangelical",Evangelical Protestant,White Evangelical Protestant,A few times a week,No,Married,Not employed,Retired,Retired,Retired,2,"Some college, no degree (includes community college)",Some college,Some college,Less than college,"$30,000 to under $40,000","$30,000 to less than $40,000",$30K to $99.9K,No,White, ,"White, non-Hispanic", ,"White, non-Hispanic",Male,Male,No, ,20191229,20191229
00000032,1.1341,English,LL,Already on phone, , ,No,No,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,B, , , , ,Not at all comfortable,Not at all comfortable,Not at all comfortable,Somewhat comfortable,Don't know enough to say,About 1 out of every 100 people,Not sure,Not sure,"Yes, curable",Not sure,Not sure,True,False,True,True,True,About right,Too difficult,About right,Stayed about the same,Illegal in most cases,Legal,Legal,Illegal,Illegal,Illegal,Don't know,There are still some cases in which abortion is illegal,To make it more difficult for women to get an abortion,Don't know,OPTION B: Decisions about abortions should be made by women in consultation with their doctors,Make it more difficult for women to access abortion,Support,Oppose,Oppose,Support,Support,Now oppose,Support,Now oppose,Support,Support,"No, have not heard of it", , , ,Less than 8 weeks,2,2,"No, have not heard of it",Very safe,Abortion is safer,Abortion is about as safe,Abortion is about as safe,Somewhat confident,False,False,91, ,65+,65+,UTAH,West,Covered by health insurance, ,Medicare, , , , , , ,Very good,Excellent/Very good,Excellent/Very good/Good,A private doctor's office,"Yes, someone in household has pre-existing condition",No,No,Pro-life,No,Yes,Not at all worried,A Republican, , ,Republican/Independent lean Republican,Republican,Moderate,Yes,Somewhat disapprove,Strongly disapprove/Somewhat disapprove,Mormon (Church of Jesus Christ of Latter Day Saints) (Vol. for phone), , , ,Other Christian,Other,A few times a month,No,Divorced,Not employed,Retired,Retired,Retired,2,"Some college, no degree (includes community college)",Some college,Some college,Less than college,"Under $20,000","Less than $20,000",Less than $30K,No,White, ,"White, non-Hispanic", ,"White, non-Hispanic",Female,Female,Yes respondent or someone else has cell phone in household, ,20191223,20191223
00000054,.2912,English,LL,Already on phone, , ,No,No,The most important issue,Very important,Somewhat important,Somewhat important,The most important issue,Not important,Very important,A,Very comfortable,Somewhat comfortable,Very comfortable,Very comfortable, , , , ,More common,About 1 out of every 10,"Yes, curable","No, not curable","Yes, curable","No, not curable","Yes, curable",True,True,False,True,True,About right,Too difficult,Too difficult,Harder,Legal in most cases,Legal,Legal,Legal,Legal,Illegal,"Yes, overturn",There are still some cases in which abortion is illegal,To protect women's access to abortions,Don't know,OPTION B: Decisions about abortions should be made by women in consultation with their doctors,Make it more difficult for women to access abortion,Support,Oppose,Oppose,Support,Support,Still support,Support,Now oppose,Oppose, ,"Yes, have heard of it",True,True,True,Between 8 and 13 weeks,15,50,"No, have not heard of it",Very safe,Abortion is safer,Abortion is less safe,Abortion is less safe,Very confident,False,True,55, ,18-64,50-64,OKLAHOMA,South,Covered by health insurance,Insured Less than 65,Medicare, ,Medicare, , , , ,Poor,Only fair/Poor,Only fair/Poor,A private doctor's office,"Yes, someone in household has pre-existing condition",No,No,Pro-life,Yes,Yes,Not at all worried,A Democrat, , ,Democrat/Independent lean Democrat,Democrat,Moderate,Yes,Strongly disapprove,Strongly disapprove/Somewhat disapprove,"Protestant (includes Baptist, Christian, Episcopalian, Jehovah's Witness, Lutheran, Methodist, Presbyterian, etc.)", , ,"No, not born-again or Evangelical",Mainline Protestant,Non-White Protestant,"Basically, every day",No,Divorced,Not employed,Retired,Retired,Retired,1,Two year associate degree from a college or university,Some college,Some college,Less than college,"Under $20,000","Less than $20,000",Less than $30K,No,Native American/American Indian/Alaska Native, ,"Other, non-Hispanic", ,"Other, non-Hispanic",Male,Male,Yes respondent or someone else has cell phone in household, ,20191223,20191223
00000059,.4787,English,Cell, ,Not driving,18 or older,No,No,Very important,Very important,Very important,Very important,Very important,Very important,Very important,A,Very comfortable,Very comfortable,Very comfortable,Very comfortable, , , , ,Don't know enough to say,Over half*,Not sure,Not sure,"Yes, curable",Not sure,Not sure,True,True,False,False,False,About right,About right,About right,Easier,Legal in most cases,Legal,Legal,Legal,Legal,Legal,"No, do not overturn",Abortion is legal in all cases,To protect women's access to abortions,Would continue to be legal,OPTION B: Decisions about abortions should be made by women in consultation with their doctors,Make it more difficult for women to access abortion,Support,Oppose,Support,Support,Support,Still support,Support,Still support,Support,Support,"No, have not heard of it", , , ,Less than 8 weeks,5,20,"No, have not heard of it",Very safe,Abortion is about as safe,Abortion is about as safe,Abortion is about as safe,Very confident,False,False,73, ,65+,65+,TEXAS,South,Covered by health insurance, ,Plan through your employer, , , , , , ,Very good,Excellent/Very good,Excellent/Very good/Good,A private doctor's office,"No, no one in household has pre-existing condition",No,No,Pro-life,No,No,Not very worried,A Democrat, , ,Democrat/Independent lean Democrat,Democrat,Very liberal,Yes,Strongly disapprove,Strongly disapprove/Somewhat disapprove,"Protestant (includes Baptist, Christian, Episcopalian, Jehovah's Witness, Lutheran, Methodist, Presbyterian, etc.)", , ,"No, not born-again or Evangelical",Mainline Protestant,Non-White Protestant,"Basically, every day",Yes,Married,Full-time, ,Employed full-time,Employed,2,"Some college, no degree (includes community college)",Some college,Some college,Less than college,"$20,000 to under $30,000","$20,000 to less than $30,000",Less than $30K,No,Black or African American, ,"Black, non-Hispanic", ,"Black, non-Hispanic",Male,Male, ,"No, no home telephone",20191223,20191223
00000065,1.519,English,Cell, ,Not driving,18 or older,No,No,Very important,The most important issue,Not important,The most important issue,The most important issue,Very important,Very important,A,Not at all comfortable,Very comfortable,Not at all comfortable,Not at all comfortable, , , , ,Don't know enough to say,Don't know,Not sure,Not sure,Not sure,Not sure,Not sure,False,Don't know,Don't know,False,Don't know,About right,About right,Don't know,Don't know,Illegal in all cases, , , , , ,"Yes, overturn",Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know, ,Don't know, ,Don't know, ,"Yes, have heard of it",Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,"No, have not heard of it",Don't know,Don't know,Don't know,Don't know,Don't know,False,Don't know,66, ,65+,65+,NORTH CAROLINA,South,Covered by health insurance, ,Medicaid/STATE-SPECIFIC MEDICAID NAME, , , , , , ,Only fair,Only fair/Poor,Only fair/Poor,Or do you have no usual source of care,"Yes, someone in household has pre-existing condition",Yes,Don't know,Don't know,No,Yes,Not at all worried,An independent, ,Don't know,Pure Independents,Undesignated,Don't know,Refused/Web blank,Don't know,Don't know/Refused/Web Blank,"Protestant (includes Baptist, Christian, Episcopalian, Jehovah's Witness, Lutheran, Methodist, Presbyterian, etc.)", , ,"No, not born-again or Evangelical",Mainline Protestant,Non-White Protestant,Less than once a month,No,Single that is never married,Not employed,Retired,Retired,Retired,2,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),Less than high school,High school or less,Less than college,Don't know,Don't know/Refused,Don't know/Refused/Web Blank,Don't know,Black or African American, ,"Black, non-Hispanic", ,"Black, non-Hispanic",Male,Male, ,"Yes, has a home telephone",20191223,20191223
00000067,.5151,English,LL,Already on phone, , ,No,No,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,A,Very comfortable,Somewhat comfortable,Not at all comfortable,Very comfortable, , , , ,Don't know enough to say,About 1 out of every 4,Not sure,"No, not curable","Yes, curable",Not sure,"Yes, curable",True,True,False,True,False,About right,About right,About right,Stayed about the same,Legal in most cases,Legal,Legal,Legal,Legal,Illegal,"No, do not overturn",There are still some cases in which abortion is illegal,To protect women's access to abortions,Don't know,OPTION B: Decisions about abortions should be made by women in consultation with their doctors,Make it more difficult for women to access abortion,Support,Oppose,Oppose,Support,Support,Now oppose,Support,Still support,Support,Oppose,"Yes, have heard of it",True,False,False,Between 8 and 13 weeks,20,30,"No, have not heard of it",Somewhat safe,Abortion is about as safe,Abortion is about as safe,Abortion is about as safe,Somewhat confident,False,False,59, ,18-64,50-64,FLORIDA,South,Not covered by health insurance,Uninsured Less than 65, , ,Uninsured <65, , , , ,Only fair,Only fair/Poor,Only fair/Poor,A neighborhood clinic or health center,"Yes, someone in household has pre-existing condition",No,Yes,Pro-choice,No,Yes,Not at all worried,A Republican, , ,Republican/Independent lean Republican,Republican,Somewhat liberal,Yes,Somewhat approve,Strongly approve/Somewhat approve,"Protestant (includes Baptist, Christian, Episcopalian, Jehovah's Witness, Lutheran, Methodist, Presbyterian, etc.)", , ,"No, not born-again or Evangelical",Mainline Protestant,White Mainline Protestant,A few times a week,Yes,Married,Not employed,Temporarily unemployed,Temporarily unemployed,Unemployed,2,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),Less than high school,High school or less,Less than college,"Under $20,000","Less than $20,000",Less than $30K,No,White, ,"White, non-Hispanic", ,"White, non-Hispanic",Male,Male,Yes respondent or someone else has cell phone in household, ,20191223,20191223
00000071,2.2138,English,Cell, ,Not driving,18 or older,No,No,Somewhat important,Very important,Very important,Not important,Somewhat important,Somewhat important,Not important,A,Not at all comfortable,Not at all comfortable,Not at all comfortable,Very comfortable, , , , ,Don't know enough to say,About 1 out of every 10,Not sure,"No, not curable","Yes, curable",Not sure,"Yes, curable",True,True,False,True,True,Too difficult,Too easy,Too difficult,Stayed about the same,Legal in most cases,Legal,Legal,Legal,Legal,Illegal,"Yes, overturn",There are still some cases in which abortion is illegal,To make it more difficult for women to get an abortion,Would continue to be legal,OPTION A: Lawmakers should make decisions about when abortions should be available and under what conditions,Protect the health and safety of women,Support,Support,Oppose,Support,Support,Still support,Oppose, ,Support,Support,"Yes, have heard of it",True,True,True,Between 8 and 13 weeks,35,80,"No, have not heard of it",Somewhat safe,Abortion is less safe,Abortion is safer,Abortion is less safe,Very confident,False,False,63, ,18-64,50-64,ARIZONA,West,Covered by health insurance,Insured Less than 65,Medicare, ,Medicare, , , , ,Poor,Only fair/Poor,Only fair/Poor,A private doctor's office,"Yes, someone in household has pre-existing condition",No,No,Pro-life,Yes,No,Not at all worried,A Republican, , ,Republican/Independent lean Republican,Republican,Very conservative,Yes,Strongly approve,Strongly approve/Somewhat approve,"Protestant (includes Baptist, Christian, Episcopalian, Jehovah's Witness, Lutheran, Methodist, Presbyterian, etc.)", , ,"No, not born-again or Evangelical",Mainline Protestant,White Mainline Protestant,A few times a week,No,Single that is never married,Not employed,Disabled/handicapped (Vol. for phone),On disability and can't work,On disability and can't work,1,Two year associate degree from a college or university,Some college,Some college,Less than college,"Under $20,000","Less than $20,000",Less than $30K,No,White, ,"White, non-Hispanic", ,"White, non-Hispanic",Male,Male, ,"No, no home telephone",20191223,20191223
