state,Total participants,q11a,q11b,q11c,q11d,q11e
AL,17,100,100,88.23529411764706,76.47058823529412,47.05882352941177
AZ,21,95.23809523809524,100,85.71428571428571,66.66666666666667,42.857142857142854
AR,4,75,100,75,50,0
CA,74,85.13513513513513,95.94594594594595,77.02702702702703,79.72972972972973,62.16216216216216
CO,20,90,90,65,65,50
CT,6,100,83.33333333333333,100,66.66666666666667,83.33333333333333
DE,4,75,100,75,50,50
NA,1,100,100,100,100,100
FL,60,78.33333333333333,91.66666666666667,71.66666666666667,60,41.666666666666664
GA,22,95.45454545454545,81.81818181818181,72.72727272727273,68.18181818181819,40.90909090909091
HI,1,100,100,100,0,100
ID,4,75,100,75,50,25
IL,24,83.33333333333333,87.5,75,58.333333333333336,33.333333333333336
IN,14,92.85714285714286,100,85.71428571428571,85.71428571428571,50
IA,13,92.3076923076923,84.61538461538461,61.53846153846154,53.84615384615385,53.84615384615385
KS,9,100,88.88888888888889,88.88888888888889,88.88888888888889,44.44444444444444
KY,8,75,87.5,50,75,25
LA,9,100,100,77.77777777777777,88.88888888888889,44.44444444444444
ME,1,100,100,100,100,0
MD,13,92.3076923076923,92.3076923076923,84.61538461538461,92.3076923076923,53.84615384615385
MA,13,92.3076923076923,92.3076923076923,84.61538461538461,61.53846153846154,46.15384615384615
MI,16,93.75,100,93.75,87.5,56.25
MN,14,92.85714285714286,100,78.57142857142857,85.71428571428571,78.57142857142857
MS,5,80,100,80,80,80
MO,18,77.77777777777777,88.88888888888889,72.22222222222223,61.111111111111114,27.77777777777778
MT,4,75,75,50,50,25
NE,6,83.33333333333333,100,83.33333333333333,83.33333333333333,16.666666666666668
NV,9,100,100,66.66666666666667,66.66666666666667,55.55555555555556
NH,6,100,100,100,83.33333333333333,83.33333333333333
NJ,12,91.66666666666667,91.66666666666667,83.33333333333333,75,58.333333333333336
NM,10,90,90,80,60,30
NY,54,87.03703703703704,94.44444444444444,81.48148148148148,75.92592592592592,55.55555555555556
NC,22,95.45454545454545,100,81.81818181818181,81.81818181818181,45.45454545454545
ND,2,100,100,100,100,100
OH,29,96.55172413793103,75.86206896551724,86.20689655172414,68.96551724137932,37.93103448275862
OK,9,100,100,100,100,66.66666666666667
OR,11,90.9090909090909,100,90.9090909090909,72.72727272727273,36.36363636363637
PA,41,92.6829268292683,85.36585365853658,82.92682926829268,70.73170731707317,39.02439024390244
RI,4,75,100,75,75,50
SC,12,75,91.66666666666667,75,50,33.333333333333336
SD,3,100,100,66.66666666666667,66.66666666666667,33.333333333333336
TN,12,100,100,66.66666666666667,83.33333333333333,41.666666666666664
TX,54,85.18518518518519,85.18518518518519,68.51851851851852,64.81481481481481,29.62962962962963
UT,12,83.33333333333333,91.66666666666667,58.333333333333336,66.66666666666667,25
VT,1,0,0,100,100,100
VA,22,95.45454545454545,95.45454545454545,86.36363636363636,77.27272727272727,50
WA,19,89.47368421052632,89.47368421052632,78.94736842105263,73.6842105263158,42.10526315789474
WV,4,100,100,50,50,50
WI,17,76.47058823529412,100,76.47058823529412,58.8235294117647,52.94117647058823
WY,2,50,100,100,50,50
